movie_name,movie_desc
《扑克之夜》,"
        反常规虐杀片。,
        "
《自由之丘》,"
        加濑亮首尔追爱。,
        "
《购物车》,"
        争取权益的“战争”。,
        "
《我的爱我的新娘》,"
        找回最初的爱。,
        "
《疾速追杀》,"
        比《敢死队》还复古。,
        "
《把爸爸借给你》,"
        无能爸爸的逆袭。,
        "
《夜行者》,"
        看吉伦哈尔的神演技。,
        "
《彷徨之刃》,"
        残忍的复仇之路。,
        "
《I型起源》,"
        被神学包裹的伪科幻。,
        "
《优雅的谎言》,"
        如何对抗内心抑郁。,
        "
《我们的家族》,"
        是我们要学的事。,
        "
《危险的传闻》,"
        寻找造谣者。,
        "
《无业青年搭车游欧洲》,"
        画面弱爆却值得一看。,
        "
《地狱病院》,"
        游走在理智与疯狂间。,
        "
《杀人者》,"
        关于父亲的秘密。,
        "
《计划男》,"
        邋遢女对战龟毛男。,
        "
《上帝帮助女孩》,"
        适合给乐迷看的英伦MV。,
        "
《嫌疑者》,"
        孔侑挑战高难度动作戏。,
        "
